Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
7622202047138	BISKUAT BITE VN 18G(1X12X10)	MKAN	120.00	DUS	204,062	210,500	0
7622202335211	BISKUAT ORI 140G(1X48)	MKAN	1.00	PCS	5,950	7,000	6,188
7622202335211	BISKUAT ORI 140G(1X48)	MKAN	48.00	DUS	285,581	291,292	0
7622202302985	BISKUAT STROBERI GOLDEN 35G(1X12X12)	MKAN	1.00	PCS	1,659	2,500	0
7622202302985	BISKUAT STROBERI GOLDEN 35G(1X12X12)	MKAN	12.00	PAK	19,913	23,000	21,250
7622202302985	BISKUAT STROBERI GOLDEN 35G(1X12X12)	MKAN	144.00	DUS	238,961	246,500	0
7622202302954	BISKUAT VANILA GOLDEN 35G(1X12X12)	MKAN	1.00	PCS	1,659	2,500	0
7622202302954	BISKUAT VANILA GOLDEN 35G(1X12X12)	MKAN	12.00	PAK	19,913	23,000	21,250
7622202302954	BISKUAT VANILA GOLDEN 35G(1X12X12)	MKAN	144.00	DUS	238,961	246,500	0
8991102230308	BLASTER NEAPOLIT 96g(1X24)	CANDY	1.00	PCS	6,667	8,000	7,085
8991102230308	BLASTER NEAPOLIT 96g(1X24)	CANDY	24.00	DUS	160,000	165,000	0
8719200304017	BLUEBAND 5IN1 SERGUN 190G(1X60)	KEJU/MNTGA	1.00	PCS	5,792	7,000	6,000
8719200304017	BLUEBAND 5IN1 SERGUN 190G(1X60)	KEJU/MNTGA	60.00	DUS	347,541	353,000	0
9415007003588	BONETO CHOCO 320g (1X12)	SUSU FORMULA	1.00	PCS	29,900	34,500	33,250
9415007003588	BONETO CHOCO 320g (1X12)	SUSU FORMULA	12.00	DUS	358,800	394,500	0
9415007007296	BONETO CHOCO 685g(1X12)	SUSU FORMULA	1.00	PCS	74,743	81,000	77,750
9415007007296	BONETO CHOCO 685g(1X12)	SUSU FORMULA	12.00	DUS	896,916	924,000	0
9415007040699	BONETO CHOCO RTG 25g(1X12X10)	SUSU FORMULA	1.00	PCS	2,014	2,500	0
9415007040699	BONETO CHOCO RTG 25g(1X12X10)	SUSU FORMULA	10.00	RCG	20,144	23,000	22,000
9415007040699	BONETO CHOCO RTG 25g(1X12X10)	SUSU FORMULA	120.00	DUS	241,728	252,000	0
9415007040705	BONETO VN RTG 25g(1X12X10)	SUSU FORMULA	1.00	PCS	2,014	2,500	0
9415007040705	BONETO VN RTG 25g(1X12X10)	SUSU FORMULA	10.00	RCG	20,144	23,000	22,000
8998009020223	BUAVITA APLLE 245ml(24)	MNM	1.00	PCS	7,372	9,000	7,750
8998009020223	BUAVITA APLLE 245ml(24)	MNM	24.00	DUS	176,930	183,000	0
8998009020186	BUAVITA JAMBU 245ml(24)	MNM	1.00	PCS	6,800	9,000	7,800
8998009020186	BUAVITA JAMBU 245ml(24)	MNM	24.00	DUS	163,192	183,000	0
8998009020216	BUAVITA LECI 245ml(24)	MNM	1.00	PCS	6,800	9,000	8,000
8998009020216	BUAVITA LECI 245ml(24)	MNM	24.00	DUS	163,193	183,000	0
8998009020193	BUAVITA MANGO 245mll(24)	MNM	1.00	PCS	6,652	9,000	7,100
